Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Car_Age,Brand,Model
Mahindra Scorpio S4 Plus,Bangalore,2015,35000,Diesel,Manual,Second,15.4 kmpl,2179.0,120.0,7.0,0,8.5,9,Mahindra,Scorpio
Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,38056,Diesel,Manual,First,23.9 kmpl,1582.0,126.2,5.0,0,10.7,7,Hyundai,Verna
Audi Q7 3.0 TDI Quattro Premium Plus,Pune,2009,94000,Diesel,Automatic,Second,12.07 kmpl,2967.0,241.4,7.0,0,12.0,15,Audi,Q7
Chevrolet Aveo U-VA 1.2 LT,Coimbatore,2010,64236,Petrol,Manual,First,14.7 kmpl,1150.0,76.0,5.0,0,2.44,14,Chevrolet,Aveo
Mahindra Bolero ZLX BSIII,Kolkata,2000,124000,Diesel,Manual,First,13.6 kmpl,2523.0,63.0,7.0,0,1.95,24,Mahindra,Bolero
Hyundai Xcent 1.2 Kappa S,Mumbai,2014,7400,Petrol,Manual,First,19.1 kmpl,1197.0,82.0,5.0,0,4.35,10,Hyundai,Xcent
Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,Diesel,Manual,First,13.68 kmpl,2393.0,147.8,8.0,19.43 Lakh,17.5,7,Toyota,Innova
Hyundai EON Era Plus,Hyderabad,2015,68764,Petrol,Manual,First,21.1 kmpl,814.0,55.2,5.0,0,2.9,9,Hyundai,EON
Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,64000,Diesel,Manual,First,22.07 kmpl,1199.0,73.9,5.0,0,2.9,11,Volkswagen,Polo
Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.3 kmpl,1248.0,88.5,5.0,10.65 Lakh,8.9,8,Maruti,Vitara
BMW 3 Series 320d Prestige,Mumbai,2013,37500,Diesel,Automatic,First,18.88 kmpl,1995.0,184.0,5.0,0,16.75,11,BMW,3
Hyundai EON Sportz,Coimbatore,2016,14077,Petrol,Manual,First,21.1 kmpl,814.0,55.2,5.0,0,3.95,8,Hyundai,EON
Honda City 1.5 S MT,Mumbai,2009,70000,Petrol,Manual,First,17.0 kmpl,1497.0,118.0,5.0,0,2.1,15,Honda,City
Honda Accord 2.4 MT,Kochi,2011,54316,Petrol,Manual,Second,12.8 kmpl,2354.0,177.6,5.0,0,4.29,13,Honda,Accord
Mahindra Xylo E8,Hyderabad,2009,90764,Diesel,Manual,First,14.0 kmpl,2498.0,112.0,8.0,0,3.85,15,Mahindra,Xylo
BMW 3 Series 320d,Chennai,2009,137000,Diesel,Automatic,Second,13.2 kmpl,1995.0,170.0,5.0,0,9.0,15,BMW,3
Honda City V MT,Pune,2013,127000,Petrol,Manual,Second,16.8 kmpl,1497.0,116.3,5.0,0,4.5,11,Honda,City
Mahindra XUV500 W10 2WD,Kochi,2016,51884,Diesel,Manual,First,16.0 kmpl,2179.0,140.0,7.0,0,12.46,8,Mahindra,XUV500
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,67407,Diesel,Manual,First,21.27 kmpl,1396.0,88.76,5.0,0,4.65,10,Hyundai,i20
Toyota Fortuner 4x2 Manual,Hyderabad,2014,107825,Diesel,Manual,First,13.0 kmpl,2982.0,168.5,7.0,0,20.5,10,Toyota,Fortuner
Mahindra Bolero DI BSII,Chennai,2006,82453,Diesel,Manual,First,13.6 kmpl,2523.0,63.0,8.0,0,2.9,18,Mahindra,Bolero
Maruti Esteem Vxi - BSIII,Chennai,2007,30441,Petrol,Manual,First,15.9 kmpl,1298.0,85.0,5.0,0,1.45,17,Maruti,Esteem
Hyundai Santro LS zipPlus,Chennai,2002,70000,Petrol,Manual,Third,0.0 kmpl,1086.0,0.0,5.0,0,0.65,22,Hyundai,Santro
Mini Cooper 5 DOOR D,Mumbai,2016,11000,Diesel,Automatic,First,20.7 kmpl,1496.0,113.98,5.0,42.12 Lakh,29.5,8,Mini,Cooper
Audi Q3 35 TDI Quattro Premium,Hyderabad,2015,61000,Diesel,Automatic,First,15.73 kmpl,1968.0,174.33,5.0,0,25.0,9,Audi,Q3
Hyundai i20 Sportz Option,Delhi,2013,48454,Petrol,Manual,Second,17.0 kmpl,1197.0,80.0,5.0,0,3.5,11,Hyundai,i20
Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,Diesel,Manual,First,14.1 kmpl,2179.0,154.0,7.0,16.95 Lakh,11.25,7,Tata,Safari
Honda BR-V i-DTEC VX MT,Kochi,2017,32249,Diesel,Manual,First,21.9 kmpl,1498.0,98.6,7.0,15.45 Lakh,10.79,7,Honda,BR-V
Volkswagen Jetta 2013-2015 2.0L TDI Highline,Kolkata,2013,58000,Diesel,Manual,First,19.33 kmpl,1968.0,138.03,5.0,0,5.9,11,Volkswagen,Jetta
Hyundai Xcent 1.2 Kappa S Option,Jaipur,2017,28360,Petrol,Manual,First,19.1 kmpl,1197.0,81.86,5.0,0,5.12,7,Hyundai,Xcent
Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,20.89 kmpl,1197.0,81.8,5.0,7.87 Lakh,5.7,7,Maruti,Ignis
BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,19658,Diesel,Automatic,First,18.12 kmpl,1995.0,190.0,5.0,0,35.84,8,BMW,5
Ford Ikon 1.3 CLXi,Hyderabad,2007,92000,Petrol,Manual,First,13.8 kmpl,1299.0,70.0,5.0,0,1.25,17,Ford,Ikon
Hyundai i10 Sportz,Kolkata,2013,25000,Petrol,Manual,First,20.36 kmpl,1197.0,78.9,5.0,0,2.65,11,Hyundai,i10
Hyundai Verna 1.6 CRDI,Coimbatore,2016,37882,Diesel,Manual,First,22.32 kmpl,1582.0,126.3,5.0,0,9.19,8,Hyundai,Verna
BMW 3 Series 320d Highline,Bangalore,2014,69330,Diesel,Automatic,First,16.07 kmpl,1995.0,181.0,5.0,0,23.5,10,BMW,3
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Delhi,2011,61000,Petrol,Automatic,First,12.3 kmpl,1796.0,185.0,5.0,0,12.5,13,Mercedes-Benz,E-Class
Chevrolet Beat Option Pack,Kolkata,2010,35000,Petrol,Manual,Second,18.6 kmpl,1199.0,79.4,5.0,0,1.5,14,Chevrolet,Beat
Hyundai Santro Xing XP,Jaipur,2004,200000,Petrol,Manual,First,0.0 kmpl,1086.0,0.0,5.0,0,0.8,20,Hyundai,Santro
Tata Indica DLS,Jaipur,2009,82000,Diesel,Manual,Second,13.5 kmpl,1405.0,0.0,5.0,0,0.75,15,Tata,Indica
Mahindra XUV500 W8 2WD,Delhi,2012,72450,Diesel,Manual,First,15.1 kmpl,2179.0,140.0,7.0,0,8.1,12,Mahindra,XUV500
Maruti Ciaz ZDi Plus SHVS,Jaipur,2017,36381,Diesel,Manual,First,28.09 kmpl,1248.0,88.5,5.0,0,9.75,7,Maruti,Ciaz
Mercedes-Benz New C-Class C 250 CDI Avantgarde,Coimbatore,2017,25559,Diesel,Automatic,First,19.71 kmpl,2143.0,201.15,5.0,0,37.93,7,Mercedes-Benz,New
Honda City ZX CVT,Chennai,2005,100000,Petrol,Automatic,Third,16.4 kmpl,1497.0,78.0,5.0,0,1.96,19,Honda,City
Toyota Fortuner 4x2 4 Speed AT,Jaipur,2015,94000,Diesel,Automatic,First,11.5 kmpl,2982.0,169.0,7.0,0,20.5,9,Toyota,Fortuner
Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.07 kmpl,998.0,67.1,5.0,4.7 Lakh,2.75,13,Maruti,Alto
Jaguar XJ 2.0L Portfolio,Mumbai,2017,10501,Petrol,Automatic,First,9.43 kmpl,1999.0,237.4,5.0,0,75.0,7,Jaguar,XJ
Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,Diesel,Manual,First,21.9 kmpl,1396.0,90.0,5.0,0,2.8,15,Hyundai,i20
Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0 kmpl,1497.0,117.3,7.0,15.02 Lakh,9.25,7,Honda,BRV
Toyota Corolla Executive (HE),Chennai,2007,89000,Petrol,Manual,First,13.4 kmpl,1794.0,125.0,5.0,0,3.0,17,Toyota,Corolla
Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,49964,Diesel,Automatic,First,17.68 kmpl,1968.0,174.33,5.0,0,23.89,10,Audi,A6
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Mumbai,2014,35000,Diesel,Manual,First,12.99 kmpl,2494.0,100.6,7.0,0,12.75,10,Toyota,Innova
Hyundai Grand i10 CRDi Sportz,Jaipur,2014,64000,Diesel,Manual,First,24.0 kmpl,1120.0,70.0,5.0,0,4.15,10,Hyundai,Grand
Volkswagen Vento IPL II Petrol Highline AT,Mumbai,2013,36000,Petrol,Automatic,First,14.8 kmpl,1598.0,105.0,5.0,0,4.65,11,Volkswagen,Vento
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Delhi,2012,78600,Diesel,Manual,First,12.8 kmpl,2494.0,102.0,7.0,0,8.9,12,Toyota,Innova
Hyundai Verna CRDi SX,Jaipur,2008,170000,Diesel,Manual,Second,16.8 kmpl,1493.0,110.0,5.0,0,1.5,16,Hyundai,Verna
Maruti Ritz VDi,Pune,2015,65000,Diesel,Manual,Second,23.2 kmpl,1248.0,73.94,5.0,0,3.27,9,Maruti,Ritz
Audi Q7 3.0 TDI Quattro Technology,Pune,2008,120300,Diesel,Automatic,Second,12.07 kmpl,2967.0,241.4,7.0,0,18.0,16,Audi,Q7
Hyundai i20 Asta Option 1.2,Pune,2016,21000,Petrol,Manual,First,18.6 kmpl,1197.0,81.83,5.0,0,6.3,8,Hyundai,i20
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.3 kmpl,1248.0,88.5,5.0,12.56 Lakh,11.31,7,Maruti,Vitara
Honda City i VTEC S,Pune,2014,58407,Petrol,Manual,First,17.4 kmpl,1497.0,117.3,5.0,0,6.16,10,Honda,City
Maruti Ciaz ZXi,Pune,2014,49500,Petrol,Manual,First,20.73 kmpl,1373.0,91.1,5.0,0,6.0,10,Maruti,Ciaz
Nissan Sunny XV CVT,Kochi,2013,37199,Petrol,Automatic,First,17.5 kmpl,1498.0,99.6,5.0,11.33 Lakh,5.43,11,Nissan,Sunny
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,62000,Diesel,Manual,First,22.07 kmpl,1199.0,73.9,5.0,0,4.65,12,Volkswagen,Polo
Maruti Ertiga ZDI,Hyderabad,2015,59000,Diesel,Manual,First,20.77 kmpl,1248.0,88.8,7.0,0,7.5,9,Maruti,Ertiga
Maruti Swift Dzire VDI,Jaipur,2015,60000,Diesel,Manual,First,26.59 kmpl,1248.0,74.0,5.0,0,6.25,9,Maruti,Swift
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Bangalore,2007,39037,Diesel,Automatic,First,14.84 kmpl,2143.0,170.0,5.0,0,9.25,17,Mercedes-Benz,New
Honda Brio S MT,Mumbai,2013,17003,Petrol,Manual,First,19.4 kmpl,1198.0,86.8,5.0,0,3.15,11,Honda,Brio
Hyundai i10 Magna Optional 1.1L,Hyderabad,2008,80400,Petrol,Manual,First,16.0 kmpl,1086.0,66.7,5.0,0,2.3,16,Hyundai,i10
Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,75200,Diesel,Manual,First,22.32 kmpl,1582.0,126.32,5.0,0,5.25,12,Hyundai,Verna
Maruti Ciaz VDI SHVS,Kochi,2017,41217,Diesel,Manual,First,28.09 kmpl,1248.0,88.5,5.0,0,7.4,7,Maruti,Ciaz
Ford Ikon 1.3 Flair,Pune,2006,98293,Petrol,Manual,Second,13.8 kmpl,1299.0,70.0,5.0,0,1.55,18,Ford,Ikon
Volkswagen Polo 1.2 MPI Highline,Pune,2017,54000,Petrol,Manual,Second,16.2 kmpl,1199.0,74.0,5.0,0,6.0,7,Volkswagen,Polo
Honda Jazz 1.2 V i VTEC,Chennai,2016,17377,Petrol,Manual,First,18.7 kmpl,1199.0,88.7,5.0,0,5.9,8,Honda,Jazz
Honda Amaze EX i-Dtech,Bangalore,2013,33800,Diesel,Manual,Second,25.8 kmpl,1498.0,98.6,5.0,0,4.7,11,Honda,Amaze
Hyundai i20 Asta 1.4 CRDi,Hyderabad,2015,86157,Diesel,Manual,First,22.54 kmpl,1396.0,88.73,5.0,0,6.5,9,Hyundai,i20
Maruti Ritz VDi,Hyderabad,2012,146824,Diesel,Manual,First,21.1 kmpl,1248.0,73.9,5.0,0,3.55,12,Maruti,Ritz
Honda City V MT,Chennai,2014,55000,Petrol,Manual,First,16.8 kmpl,1497.0,116.3,5.0,0,7.1,10,Honda,City
Skoda Superb 1.8 TSI MT,Hyderabad,2010,53293,Petrol,Manual,First,13.14 kmpl,1798.0,160.0,5.0,0,6.0,14,Skoda,Superb
Maruti Vitara Brezza LDi Option,Pune,2017,38000,Diesel,Manual,First,24.3 kmpl,1248.0,88.5,5.0,0,7.99,7,Maruti,Vitara
Hyundai i20 Asta,Bangalore,2009,64000,Petrol,Manual,Second,17.0 kmpl,1197.0,80.0,5.0,0,4.1,15,Hyundai,i20
Maruti Alto K10 VXI AGS,Hyderabad,2017,25058,Petrol,Automatic,First,24.07 kmpl,998.0,67.1,5.0,0,3.95,7,Maruti,Alto
Hyundai EON Era Plus,Kochi,2016,36700,Petrol,Manual,First,21.1 kmpl,814.0,55.2,5.0,0,4.38,8,Hyundai,EON
Hyundai i10 Sportz,Mumbai,2011,35000,Petrol,Manual,First,20.36 kmpl,1197.0,78.9,5.0,0,2.75,13,Hyundai,i10
Mercedes-Benz SLK-Class SLK 350,Coimbatore,2016,22732,Petrol,Automatic,First,18.1 kmpl,3498.0,306.0,2.0,0,55.54,8,Mercedes-Benz,SLK-Class
Audi A6 2.0 TDI Design Edition,Hyderabad,2014,48000,Diesel,Automatic,First,18.53 kmpl,1968.0,187.74,5.0,0,29.0,10,Audi,A6
Ford EcoSport 1.5 TDCi Titanium,Bangalore,2013,62084,Diesel,Manual,First,22.77 kmpl,1498.0,98.59,5.0,0,6.6,11,Ford,EcoSport
Volkswagen Passat Highline DSG,Kolkata,2012,39273,Diesel,Automatic,First,14.3 kmpl,1968.0,140.0,5.0,0,6.99,12,Volkswagen,Passat
Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,Diesel,Manual,First,13.68 kmpl,2393.0,147.8,7.0,26.45 Lakh,18.75,7,Toyota,Innova
Ford Figo Diesel ZXI,Jaipur,2010,100002,Diesel,Manual,Third,20.0 kmpl,1399.0,68.0,5.0,0,1.28,14,Ford,Figo
Chevrolet Aveo 1.4,Pune,2006,78000,Petrol,Manual,Third,14.49 kmpl,1399.0,92.7,5.0,0,1.2,18,Chevrolet,Aveo
Maruti Ritz LXi,Coimbatore,2013,57717,Petrol,Manual,First,18.5 kmpl,1197.0,85.8,5.0,0,4.31,11,Maruti,Ritz
Land Rover Freelander 2 SE,Chennai,2011,109000,Diesel,Automatic,First,12.39 kmpl,2179.0,147.51,5.0,0,16.5,13,Land,Rover
Hyundai Grand i10 Asta,Coimbatore,2017,74515,Petrol,Manual,First,18.9 kmpl,1197.0,82.0,5.0,0,5.64,7,Hyundai,Grand
Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2017,50484,Diesel,Automatic,First,10.91 kmpl,3198.0,197.2,7.0,0,31.12,7,Ford,Endeavour
Audi Q5 2008-2012 2.0 TDI,Kochi,2013,13452,Diesel,Automatic,First,12.8 kmpl,1968.0,167.6,5.0,0,25.46,11,Audi,Q5
Hyundai Verna 1.6 VTVT,Kochi,2017,37688,Petrol,Manual,First,17.01 kmpl,1591.0,121.3,5.0,0,7.88,7,Hyundai,Verna
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Chennai,2017,34000,Diesel,Automatic,First,13.0 kmpl,2143.0,204.0,5.0,0,36.0,7,Mercedes-Benz,E-Class
Mercedes-Benz M-Class ML 350 4Matic,Pune,2014,120000,Diesel,Automatic,First,0.0 kmpl,2987.0,165.0,5.0,0,30.0,10,Mercedes-Benz,M-Class
Maruti Swift Dzire ZXi,Pune,2008,64000,Petrol,Manual,Second,17.5 kmpl,1298.0,85.8,5.0,0,2.85,16,Maruti,Swift
Honda City 1.3 EXI S,Delhi,2011,100000,Petrol,Manual,First,13.0 kmpl,1343.0,90.0,5.0,0,3.5,13,Honda,City
Renault Duster 85PS Diesel RxL Optional,Jaipur,2014,75000,Diesel,Manual,First,20.46 kmpl,1461.0,83.8,5.0,0,7.5,10,Renault,Duster
Mercedes-Benz New C-Class 220 CDI AT,Hyderabad,2012,86000,Diesel,Automatic,First,14.84 kmpl,2143.0,170.0,5.0,0,19.0,12,Mercedes-Benz,New
BMW X5 xDrive 30d Design Pure Experience 5 Seater,Hyderabad,2015,69000,Diesel,Automatic,First,15.97 kmpl,2993.0,258.0,5.0,0,54.0,9,BMW,X5
Hyundai Xcent 1.2 Kappa SX Option,Kochi,2015,41721,Petrol,Manual,First,19.1 kmpl,1197.0,82.0,5.0,0,4.7,9,Hyundai,Xcent
Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,Petrol,Automatic,First,22.0 kmpl,1197.0,81.8,5.0,10.34 Lakh,8.5,7,Maruti,Dzire
BMW 3 Series 320d Corporate Edition,Kolkata,2013,38998,Diesel,Automatic,First,16.07 kmpl,1995.0,181.0,4.0,0,17.0,11,BMW,3
Maruti Alto 800 LXI,Kochi,2017,54250,Petrol,Manual,First,22.74 kmpl,796.0,47.3,5.0,0,3.51,7,Maruti,Alto
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2013,45979,Diesel,Automatic,Second,17.11 kmpl,1968.0,174.33,5.0,0,19.5,11,Audi,A4
Mini Cooper S,Pune,2012,37000,Petrol,Automatic,Second,13.6 kmpl,1598.0,181.0,4.0,0,17.0,12,Mini,Cooper
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,46983,Diesel,Automatic,Second,12.07 kmpl,2967.0,241.4,7.0,0,43.35,9,Audi,Q7
Chevrolet Beat Diesel LT,Bangalore,2012,40700,Diesel,Manual,First,25.44 kmpl,936.0,57.6,5.0,0,2.65,12,Chevrolet,Beat
Maruti Wagon R LXI BS IV,Kochi,2015,43828,Petrol,Manual,First,20.51 kmpl,998.0,67.04,5.0,0,3.52,9,Maruti,Wagon
Nissan Terrano XV Premium 110 PS,Kolkata,2016,53000,Diesel,Manual,First,19.01 kmpl,1461.0,108.5,5.0,0,6.25,8,Nissan,Terrano
BMW 3 Series 320d Luxury Plus,Ahmedabad,2015,100000,Diesel,Automatic,First,18.88 kmpl,1995.0,184.0,5.0,0,24.75,9,BMW,3
Maruti Swift Dzire VXI,Mumbai,2015,19000,Petrol,Manual,First,20.85 kmpl,1197.0,83.14,5.0,0,5.25,9,Maruti,Swift
Skoda Yeti Elegance 4X2,Jaipur,2016,84000,Diesel,Manual,First,17.72 kmpl,1968.0,108.5,5.0,0,11.0,8,Skoda,Yeti
Ford EcoSport 1.5 Ti VCT AT Titanium,Kochi,2018,37630,Petrol,Automatic,First,15.63 kmpl,1499.0,110.4,5.0,0,9.1,6,Ford,EcoSport
Hyundai i20 1.2 Magna,Chennai,2010,67714,Petrol,Manual,First,18.5 kmpl,1197.0,80.0,5.0,0,3.25,14,Hyundai,i20
Maruti S Cross DDiS 200 Sigma Option,Pune,2017,32000,Diesel,Manual,First,15.0 kmpl,1248.0,88.5,5.0,0,8.5,7,Maruti,S
Hyundai Verna Transform VTVT,Pune,2010,51000,Petrol,Manual,First,16.2 kmpl,1599.0,103.2,5.0,0,3.1,14,Hyundai,Verna
BMW 3 Series 320d Luxury Line,Kochi,2015,58390,Diesel,Automatic,First,18.88 kmpl,1995.0,184.0,5.0,0,19.86,9,BMW,3
Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0 kmpl,1186.0,73.97,5.0,7.46 Lakh,4.9,7,Hyundai,Grand
Honda City i-VTEC V,Delhi,2014,55818,Petrol,Manual,Second,17.4 kmpl,1497.0,117.3,5.0,11.85 Lakh,5.7,10,Honda,City
Maruti Swift 1.3 VXi,Chennai,2006,97800,Petrol,Manual,Third,16.1 kmpl,0.0,0.0,0.0,0,1.75,18,Maruti,Swift
Maruti Swift VDI BSIV,Kolkata,2012,52241,Diesel,Manual,First,25.2 kmpl,1248.0,74.0,5.0,0,2.9,12,Maruti,Swift
Maruti Baleno Zeta 1.3,Coimbatore,2018,25433,Diesel,Manual,First,27.39 kmpl,1248.0,74.0,5.0,0,7.83,6,Maruti,Baleno
Tata Safari Storme 2012-2015 LX,Kochi,2015,40611,Diesel,Manual,First,14.0 kmpl,2179.0,138.1,7.0,0,8.15,9,Tata,Safari
Hyundai Accent GLS,Bangalore,2008,72000,Petrol,Manual,Second,13.2 kmpl,1495.0,94.0,5.0,0,2.0,16,Hyundai,Accent
Maruti Swift LDI SP Limited Edition,Hyderabad,2016,54631,Diesel,Manual,First,25.2 kmpl,1248.0,74.0,5.0,0,6.25,8,Maruti,Swift
Maruti Swift VDI BSIV,Bangalore,2007,60000,Diesel,Manual,Second,17.8 kmpl,1248.0,0.0,5.0,0,3.4,17,Maruti,Swift
Tata Nano XTA,Coimbatore,2016,24941,Petrol,Automatic,First,21.9 kmpl,624.0,37.48,4.0,0,3.19,8,Tata,Nano
Maruti Ertiga VDI,Ahmedabad,2017,63939,Diesel,Manual,First,25.47 kmpl,1248.0,88.5,7.0,10.41 Lakh,7.75,7,Maruti,Ertiga
Maruti Celerio VXI AMT,Delhi,2014,35214,Petrol,Automatic,Second,23.1 kmpl,998.0,67.04,5.0,5.57 Lakh,3.2,10,Maruti,Celerio
Maruti Swift VDI BSIV,Delhi,2015,63000,Diesel,Manual,First,25.2 kmpl,1248.0,74.0,5.0,0,4.9,9,Maruti,Swift
Volkswagen Vento Petrol Highline,Kochi,2012,121377,Petrol,Manual,First,15.04 kmpl,1598.0,103.6,5.0,0,3.8,12,Volkswagen,Vento
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Chennai,2009,100970,Diesel,Automatic,First,15.5 kmpl,1896.0,105.0,5.0,0,4.0,15,Volkswagen,Jetta
Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7 kmpl,1496.0,113.98,5.0,42.48 Lakh,23.5,10,Mini,Cooper
Tata Indica V2 DLS,Chennai,2008,77650,Diesel,Manual,First,17.2 kmpl,1396.0,53.5,5.0,0,1.15,16,Tata,Indica
Hyundai Santro Xing XO,Hyderabad,2007,71297,Petrol,Manual,First,17.0 kmpl,1086.0,0.0,5.0,0,2.2,17,Hyundai,Santro
Land Rover Range Rover 3.0 D,Mumbai,2008,55001,Diesel,Automatic,Second,0.0 kmpl,0.0,0.0,0.0,0,26.5,16,Land,Rover
Honda City i-VTEC CVT VX,Bangalore,2015,18955,Petrol,Automatic,First,18.0 kmpl,1497.0,117.3,5.0,16.04 Lakh,10.65,9,Honda,City
Jaguar XF 2.2 Litre Luxury,Coimbatore,2016,47877,Diesel,Automatic,First,16.36 kmpl,2179.0,187.7,5.0,0,35.68,8,Jaguar,XF
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Kochi,2017,43368,Diesel,Automatic,First,15.0 kmpl,2143.0,204.0,5.0,0,31.94,7,Mercedes-Benz,E-Class
Chevrolet Cruze LTZ,Chennai,2011,73000,Diesel,Manual,Third,18.3 kmpl,1991.0,147.9,5.0,0,4.2,13,Chevrolet,Cruze
Mahindra XUV500 W8 2WD,Ahmedabad,2015,72007,Diesel,Manual,First,15.1 kmpl,2179.0,140.0,7.0,0,9.9,9,Mahindra,XUV500
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Kochi,2014,56778,Petrol,Automatic,First,11.74 kmpl,1796.0,186.0,5.0,0,15.46,10,Mercedes-Benz,New
Honda Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.2 kmpl,1199.0,88.7,5.0,9.1 Lakh,8.46,6,Honda,Jazz
Toyota Etios G,Kolkata,2013,42103,Petrol,Manual,First,16.78 kmpl,1496.0,88.73,5.0,0,3.25,11,Toyota,Etios
Maruti Alto LXi BSIII,Hyderabad,2012,67147,Petrol,Manual,First,19.7 kmpl,796.0,46.3,5.0,0,2.6,12,Maruti,Alto
Maruti Swift VXI BSIV,Coimbatore,2016,37806,Petrol,Manual,First,20.4 kmpl,1197.0,81.8,5.0,0,5.2,8,Maruti,Swift
Maruti A-Star Vxi,Pune,2009,85000,Petrol,Manual,Third,19.0 kmpl,998.0,66.1,5.0,0,1.8,15,Maruti,A-Star
Tata Nano Lx BSIV,Chennai,2011,35000,Petrol,Manual,First,25.4 kmpl,624.0,37.48,4.0,0,1.6,13,Tata,Nano
Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5 kmpl,1498.0,99.0,5.0,7.65 Lakh,2.5,9,Ford,Figo
Fiat Linea Emotion,Jaipur,2011,48500,Petrol,Manual,First,16.0 kmpl,1368.0,90.0,5.0,0,2.5,13,Fiat,Linea
Ford Figo Aspire 1.2 Ti-VCT Trend,Coimbatore,2017,28854,Petrol,Manual,First,18.16 kmpl,1196.0,86.8,5.0,0,6.7,7,Ford,Figo
Maruti Baleno LXI,Hyderabad,2005,92450,Petrol,Manual,First,15.4 kmpl,1590.0,94.0,5.0,0,1.2,19,Maruti,Baleno
BMW 3 Series 320d Luxury Line,Coimbatore,2016,14351,Diesel,Automatic,First,18.88 kmpl,1995.0,184.0,5.0,0,35.55,8,BMW,3
Chevrolet Cruze LTZ,Jaipur,2017,51087,Diesel,Manual,First,17.9 kmpl,1998.0,163.7,5.0,0,7.75,7,Chevrolet,Cruze
Mahindra Scorpio 2.6 DX,Chennai,2005,50000,Diesel,Manual,First,12.7 kmpl,2609.0,116.6,8.0,0,1.94,19,Mahindra,Scorpio
Tata Indica V2 eLS,Hyderabad,2016,73000,Diesel,Manual,First,25.0 kmpl,1396.0,69.0,5.0,0,2.2,8,Tata,Indica
Chevrolet Cruze LTZ AT,Ahmedabad,2011,60000,Diesel,Automatic,First,18.1 kmpl,1991.0,147.9,4.0,0,3.8,13,Chevrolet,Cruze
Toyota Innova 2.5 V Diesel 8-seater,Chennai,2016,50000,Diesel,Manual,First,12.8 kmpl,2494.0,102.0,8.0,0,15.65,8,Toyota,Innova
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,36797,Diesel,Automatic,First,19.27 kmpl,2143.0,167.62,5.0,0,39.47,6,Mercedes-Benz,New
Maruti Ritz VXi,Kolkata,2011,50000,Petrol,Manual,Second,18.5 kmpl,1197.0,85.8,5.0,0,1.5,13,Maruti,Ritz
Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Ahmedabad,2013,94000,Diesel,Manual,First,12.8 kmpl,2494.0,102.0,8.0,0,8.85,11,Toyota,Innova
Toyota Fortuner 4x4 MT,Bangalore,2013,74000,Diesel,Manual,Second,12.55 kmpl,2982.0,168.5,7.0,0,17.9,11,Toyota,Fortuner
Hyundai i10 Sportz AT,Coimbatore,2014,41016,Petrol,Automatic,Second,16.95 kmpl,1197.0,78.9,5.0,0,5.08,10,Hyundai,i10
Hyundai Verna 1.6 SX,Bangalore,2012,67000,Diesel,Manual,First,22.32 kmpl,1582.0,126.32,5.0,0,6.25,12,Hyundai,Verna
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Bangalore,2015,76927,Diesel,Automatic,First,15.73 kmpl,1968.0,174.33,5.0,0,22.75,9,Audi,Q3
